[INFO][request.go:12]2021/11/10 16:07:37 [Name.Required. Name Can not be empty]
[INFO][request.go:12]2021/11/10 16:07:37 [ModifiedBy.Required. ModifiedBy Can not be empty]
[INFO][request.go:12]2021/11/10 16:12:40 [ModifiedBy.Required. ModifiedBy Can not be empty]
[INFO][request.go:12]2021/11/10 16:44:24 [ModifiedBy.Required. ModifiedBy Can not be empty]
[INFO][request.go:12]2021/11/10 16:45:37 [ModifiedBy.Required. ModifiedBy Can not be empty]
[INFO][request.go:12]2021/11/10 16:48:12 [ModifiedBy.Required. ModifiedBy Can not be empty]
[INFO][request.go:12]2021/11/10 22:36:24 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:37:47 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:45:50 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:46:35 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:46:50 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:47:03 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:48:15 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:54:09 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:55:34 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:55:51 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:56:17 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 22:59:01 [id ID phải lới hơn 0]
[INFO][request.go:12]2021/11/10 23:06:33 [id ID phải lới hơn 0]
